Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,TextLength,Mean,Error,StdDev,Gen0,Allocated
'IsTextUtf8 - 纯ASCII',Job-DSAPOT,False,Default,Default,Default,Default,Default,Default,11111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,1,Default,Default,Default,Default,Default,Default,16,1,100,41.7529 ns,11.7043 ns,0.0260 ns,0.0000,0 B
'IsTextUtf8 - 中文UTF8',Job-DSAPOT,False,Default,Default,Default,Default,Default,Default,11111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,1,Default,Default,Default,Default,Default,Default,16,1,100,146.0554 ns,276.5617 ns,0.6144 ns,0.0000,0 B
'IsTextUtf8 - 混合UTF8',Job-DSAPOT,False,Default,Default,Default,Default,Default,Default,11111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,1,Default,Default,Default,Default,Default,Default,16,1,100,164.0798 ns,442.2999 ns,0.9825 ns,0.0000,0 B
'IsTextUtf8 - 无效序列',Job-DSAPOT,False,Default,Default,Default,Default,Default,Default,11111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,1,Default,Default,Default,Default,Default,Default,16,1,100,0.2299 ns,4.2348 ns,0.0094 ns,0.0000,0 B
'GetCodeTypeName - QR码',Job-DSAPOT,False,Default,Default,Default,Default,Default,Default,11111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,1,Default,Default,Default,Default,Default,Default,16,1,100,0.2048 ns,4.5967 ns,0.0102 ns,0.0000,0 B
'GetCodeTypeName - Code128',Job-DSAPOT,False,Default,Default,Default,Default,Default,Default,11111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,1,Default,Default,Default,Default,Default,Default,16,1,100,0.4330 ns,0.8288 ns,0.0018 ns,0.0000,0 B
'GetCodeTypeName - 未知码',Job-DSAPOT,False,Default,Default,Default,Default,Default,Default,11111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,1,Default,Default,Default,Default,Default,Default,16,1,100,0.2099 ns,6.6180 ns,0.0147 ns,0.0000,0 B
'GetErrorDescription - 网络错误',Job-DSAPOT,False,Default,Default,Default,Default,Default,Default,11111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,1,Default,Default,Default,Default,Default,Default,16,1,100,0.6345 ns,2.1353 ns,0.0047 ns,0.0000,0 B
'GetErrorDescription - 未知错误码',Job-DSAPOT,False,Default,Default,Default,Default,Default,Default,11111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,1,Default,Default,Default,Default,Default,Default,16,1,100,0.6517 ns,4.0172 ns,0.0089 ns,0.0000,0 B
'DeviceInfo.ToString - GigE设备',Job-DSAPOT,False,Default,Default,Default,Default,Default,Default,11111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,2,Default,1,Default,Default,Default,Default,Default,Default,16,1,100,92.1938 ns,349.7282 ns,0.7769 ns,0.0036,768 B
